title,price,description,url,image_file,image_url
"American Journal of Orthodontics and Dentofacial Orthopedics, (Full Archive 1999 – 2024)",$149.99,"Published for more than 100 years, the American Journal of Orthodontics and Dentofacial Orthopedics remains the leading orthodontic resource. It is the official publication of the American Association of Orthodontists, its constituent societies, the American Board of Orthodontics, and the College of Diplomates of the American Board of Orthodontics. Each month its readers have access to original peer-reviewed articles that examine all phases of orthodontic treatment. Illustrated throughout, the publication includes tables, color photographs, and statistical data. Coverage includes successful diagnostic procedures, imaging techniques, bracket and archwire materials, extraction and impaction concerns, orthognathic surgery, TMJ disorders, removable appliances, and adult therapy.
ISSN: 0889-5406 (print) , 1097-6752 (Web)
Journal Archive (1999 to 2024)
Volume 115 to 166 , Full Issues",https://digitallistings.net/product/american-journal-of-orthodontics-and-dentofacial-orthopedics-full-archive-1999-2024/,product_images/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024.jpg;product_images/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024-300x401.jpg,https://digitallistings.net/wp-content/uploads/2025/10/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024.jpg;https://digitallistings.net/wp-content/uploads/2025/10/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024-300x401.jpg
Practical Orthodontic Protocols with Dr. Raffaele Spena,$319.00 Original price was: $319.00.$149.00Current price is: $149.00.,"Course Description
The Accelerated Orthodontic Treatment online course includes six in-depth webinars designed to provide a comprehensive understanding of modern accelerated orthodontic approaches. Throughout the course, you will explore the clinical possibilities of active self-ligating appliances and gain a clear rationale for alveolar corticotomy through a detailed, step-by-step protocol.
The program also covers both non-extraction and extraction treatment strategies for Class II cases, as well as the management of ectopic teeth, including impactions, transpositions, and transmigrations.
Key aspects of orthodontic treatment are thoroughly reviewed, with a strong focus on accurate diagnosis, structured treatment planning, proper use of devices and techniques, and the finishing stages required to achieve predictable results.
Key Learning Areas

Clinical applications of active self-ligating appliances
Alveolar corticotomy rationale and detailed clinical protocol
Non-extraction and extraction treatment of Class II cases
Management of ectopic teeth: impaction, transposition, and transmigration
Diagnostics and differential diagnostics
Step-by-step treatment planning
Orthodontic devices and methods of use
Finishing stages of orthodontic treatment

Course Details
Presented by: Raffaele Spena
Format: 6 video webinars
Total duration: 8 hours & 14 minutes
File size: 2.86 GB
Frequently Asked Questions







 How can I access the course after purchase?		 
 

 



Immediately after checkout, we email you a secure link to all materials. If you don’t see the message, please check your spam or junk folder.


If you completed the order while logged in to your account, you’ll also find the download links anytime in your Dashboard → Downloads section.


 
 
 






 What payment methods are accepted for purchasing the course?		 
 

 

We accept a variety of payment methods, including credit cards, debit cards, and PayPal, to make your purchase convenient and secure.
 
 
 






 How long do I have access to the course material?		 
 

 

Upon purchasing any of our courses, you will enjoy unlimited access to the course material. This means you can watch and revisit the videos and other resources whenever you wish, allowing for a thorough and comprehensive learning experience.
 
 
 






 Is the course accessible on mobile devices?		 
 

 

Yes, our courses are designed to be accessible on both desktop and mobile devices. You can easily access the course content using a web browser on your smartphone or tablet, providing flexibility in your learning.
 
 
 






 Is there any certification provided after completing the course?		 
 

 

While our courses are highly educational and designed to enhance your knowledge and skills, they do not include formal certifications. However, the valuable expertise you gain from our courses can significantly benefit your surgical practice and patient outcomes.
 
 
 






 What is the format of the course?		 
 

 

All our courses are delivered in a video series format. The content is available for high-definition download, ensuring the best learning experience for you.
 
 
 






 Do I need any special software to access the course videos?		 
 

 

No special software is required to access the course videos. You can conveniently download the videos online using any standard web browser on your computer or mobile device.
 
 
 






 Can I download the course materials for offline access?		 
 

 

Absolutely! You will have the option to download all course materials, including lecture slides, handouts, and supplementary resources. This allows you to access the content offline whenever and wherever it suits you best.",https://digitallistings.net/product/practical-orthodontic-protocols-with-dr-raffaele-spena/,product_images/Orthodontic-Protocols-by-Raffaele-Spena.png;product_images/Orthodontic-Protocols-by-Raffaele-Spena-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/Orthodontic-Protocols-by-Raffaele-Spena.png;https://digitallistings.net/wp-content/uploads/2025/12/Orthodontic-Protocols-by-Raffaele-Spena-300x401.png
Managing Medical Emergencies in the Dental Office – Video Course,$79.00,"Course Description
Medical emergencies can arise in any dental office. When this occurs, the primary objective is to manage the patient effectively until recovery or until emergency assistance arrives. Proper preparation is essential for successful emergency management. This course explains the preventive measures that help reduce the risk of emergencies and introduces the fundamental principles to follow when they occur.
Emergency prevention is addressed through a review of relevant drug interactions and the appropriate management of medically compromised patients. The course also examines essential emergency equipment and reviews the pharmacology of commonly used resuscitative medications.
In addition, structured protocols for managing specific medical emergencies are presented, including anaphylaxis, cardiovascular events, respiratory emergencies, and local anesthetic toxicity, among others.
Topics Covered

Introduction
Emergency Kit
Staff Roles
Anaphylaxis
Asthma
Angina / Myocardial Infarction
Cardiac Arrest
Diabetes
Syncope
Conclusion

Course Details
Presented by: Dr. Daniel Haas
Format: 9 video lectures
Total duration: 1 hour & 17 minutes
File size: 1.3 GB
Frequently Asked Questions







 How can I access the course after purchase?		 
 

 



Immediately after checkout, we email you a secure link to all materials. If you don’t see the message, please check your spam or junk folder.


If you completed the order while logged in to your account, you’ll also find the download links anytime in your Dashboard → Downloads section.


 
 
 






 What payment methods are accepted for purchasing the course?		 
 

 

We accept a variety of payment methods, including credit cards, debit cards, and PayPal, to make your purchase convenient and secure.
 
 
 






 How long do I have access to the course material?		 
 

 

Upon purchasing any of our courses, you will enjoy unlimited access to the course material. This means you can watch and revisit the videos and other resources whenever you wish, allowing for a thorough and comprehensive learning experience.
 
 
 






 Is the course accessible on mobile devices?		 
 

 

Yes, our courses are designed to be accessible on both desktop and mobile devices. You can easily access the course content using a web browser on your smartphone or tablet, providing flexibility in your learning.
 
 
 






 Is there any certification provided after completing the course?		 
 

 

While our courses are highly educational and designed to enhance your knowledge and skills, they do not include formal certifications. However, the valuable expertise you gain from our courses can significantly benefit your surgical practice and patient outcomes.
 
 
 






 What is the format of the course?		 
 

 

All our courses are delivered in a video series format. The content is available for high-definition download, ensuring the best learning experience for you.
 
 
 






 Do I need any special software to access the course videos?		 
 

 

No special software is required to access the course videos. You can conveniently download the videos online using any standard web browser on your computer or mobile device.
 
 
 






 Can I download the course materials for offline access?		 
 

 

Absolutely! You will have the option to download all course materials, including lecture slides, handouts, and supplementary resources. This allows you to access the content offline whenever and wherever it suits you best.",https://digitallistings.net/product/managing-medical-emergencies-in-the-dental-office-video-course/,product_images/Managing-Medical-Emergencies-in-the-Dental-Office-–-Video-Course.png;product_images/Managing-Medical-Emergencies-in-the-Dental-Office-–-Video-Course-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/Managing-Medical-Emergencies-in-the-Dental-Office-–-Video-Course.png;https://digitallistings.net/wp-content/uploads/2025/12/Managing-Medical-Emergencies-in-the-Dental-Office-–-Video-Course-300x401.png
PGR – Prosthetically Guided Regeneration (Italian Language with English Subtitles),$500.00 Original price was: $500.00.$199.00Current price is: $199.00.,"P.G.R. – Prosthetically Guided Regeneration
P.G.R. is the acronym for Prosthetically Guided Regeneration and represents a working philosophy that places the prosthetic outcome as the fundamental driver of the entire regenerative treatment plan.
The course opens with 4 theoretical lessons illustrating the core principles of prosthetically guided regeneration, and is completed by a series of clinical cases—each including a theoretical introductory presentation, analysis of the treatment plan, and surgical ReLive—aimed at showing the extreme flexibility and adaptability of the P.G.R. approach across different clinical scenarios. In an engaging and strongly practical learning pathway, Paolo Casentini demonstrates how P.G.R. makes it possible to achieve excellent aesthetic results, major benefits in terms of time, and simplification in the treatment of complex cases.
In particular, the course illustrates the application of P.G.R. protocols in multidisciplinary treatment in the aesthetic area, with defects involving hard and soft tissues and previous errors in implant positioning, cases of severe ankylosis, synergies between P.G.R. and mucogingival aesthetic surgery, conditioning and improvement of soft tissues, post-extraction implant placement, and the use of three-dimensional regenerative supports such as mesh.
Language: Italian with English Subtitles
Presented By: Paolo Casentini
Course Details: 34 Videos – Duration: 24 hours & 19 min – File size: 18.6 GB",https://digitallistings.net/product/pgr-prosthetically-guided-regeneration-italian-language-with-english-subtitles/,product_images/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles.png;product_images/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles.png;https://digitallistings.net/wp-content/uploads/2025/12/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles-300x401.png
Maxillary Sinus Lift (T. class) Italian with English Subtitles,$420.00 Original price was: $420.00.$149.00Current price is: $149.00.,"Sinus Augmentation Video Collection
Bring the Lake Como Institute continuing education experience with you through this training channel entirely dedicated to sinus augmentation surgery.
This video collection brings together the best maxillary sinus lift procedures and posterior atrophic maxilla management cases performed over the years at the prestigious training center of Prof. Tiziano Testori. Each procedure is accompanied by in-depth commentary that unifies approaches, techniques, and practical insights demonstrated throughout the cases.
Through this video collection, you will explore in depth:

The maxillary sinus lift technique with lateral access using piezoelectric technology;
The use of dedicated sinus surgery instruments for membrane detachment and elevation phases;
Combined techniques with crestal augmentation for optimal management of the atrophic posterior maxilla;
Methods for resolving oro-antral communications;
Alternative techniques to sinus floor elevation;
Different antrostomy designs tailored to specific sinus augmentation cases;
Management of complications (perforation/laceration of the Schneiderian membrane, management of bony septa, cyst removal);
The use of different materials: bone waxes, heterologous grafts, blood derivatives.

This video series aims to provide learners with a comprehensive overview of sinus augmentation protocols from the perspective of everyday clinical practice.
Language: Italian with English Subtitles
Presented By: Tiziano Testori
Course Details:
13 Videos – Duration: 23 hours & 40 min – File size: 29.3 GB
Frequently Asked Questions







 How can I access the course after purchase?		 
 

 



Immediately after checkout, we email you a secure link to all materials. If you don’t see the message, please check your spam or junk folder.


If you completed the order while logged in to your account, you’ll also find the download links anytime in your Dashboard → Downloads section.


 
 
 






 What payment methods are accepted for purchasing the course?		 
 

 

We accept a variety of payment methods, including credit cards, debit cards, and PayPal, to make your purchase convenient and secure.
 
 
 






 How long do I have access to the course material?		 
 

 

Upon purchasing any of our courses, you will enjoy unlimited access to the course material. This means you can watch and revisit the videos and other resources whenever you wish, allowing for a thorough and comprehensive learning experience.
 
 
 






 Is the course accessible on mobile devices?		 
 

 

Yes, our courses are designed to be accessible on both desktop and mobile devices. You can easily access the course content using a web browser on your smartphone or tablet, providing flexibility in your learning.
 
 
 






 Is there any certification provided after completing the course?		 
 

 

While our courses are highly educational and designed to enhance your knowledge and skills, they do not include formal certifications. However, the valuable expertise you gain from our courses can significantly benefit your surgical practice and patient outcomes.
 
 
 






 What is the format of the course?		 
 

 

All our courses are delivered in a video series format. The content is available for high-definition download, ensuring the best learning experience for you.
 
 
 






 Do I need any special software to access the course videos?		 
 

 

No special software is required to access the course videos. You can conveniently download the videos online using any standard web browser on your computer or mobile device.
 
 
 






 Can I download the course materials for offline access?		 
 

 

Absolutely! You will have the option to download all course materials, including lecture slides, handouts, and supplementary resources. This allows you to access the content offline whenever and wherever it suits you best.",https://digitallistings.net/product/maxillary-sinus-lift-t-class-italian-with-english-subtitles/,product_images/Rialzo-del-seno-mascellare-T.-class.png;product_images/Rialzo-del-seno-mascellare-T.-class-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/Rialzo-del-seno-mascellare-T.-class.png;https://digitallistings.net/wp-content/uploads/2025/12/Rialzo-del-seno-mascellare-T.-class-300x401.png
Dental Bleaching: Evidence-Based Techniques for Daily Practice,$223.00 Original price was: $223.00.$99.99Current price is: $99.99.,"Course Overview
This course covers Marcos Barceleiro’s clinically proven protocols for both in-office and at-home dental bleaching. You will gain a clear, structured understanding of how to safely and predictably apply these techniques in everyday practice.
What You Will Be Able to Do After This Training

Perform in-office dental bleaching procedures
Prescribe and manage at-home dental bleaching treatments
Bleach non-vital teeth using appropriate protocols
Carry out microabrasion for discolored teeth
Implement maintenance strategies to ensure long-term color stability after bleaching

Video Lessons

Lesson 1: Dental bleaching – basic techniques and biological principles
Lesson 2: At-home dental bleaching protocols
Lesson 3: In-office dental bleaching protocols
Lesson 4: Bleaching of non-vital teeth and microabrasion techniques
Lesson 5: Practical tips and everyday clinical insights for dental bleaching

Course Details
Presented by: Marcos Barceleiro
Format: 5 video lectures
Total duration: 9 hours & 43 minutes
File size: 4.83 GB
Frequently Asked Questions







 How can I access the course after purchase?		 
 

 



Immediately after checkout, we email you a secure link to all materials. If you don’t see the message, please check your spam or junk folder.


If you completed the order while logged in to your account, you’ll also find the download links anytime in your Dashboard → Downloads section.


 
 
 






 What payment methods are accepted for purchasing the course?		 
 

 

We accept a variety of payment methods, including credit cards, debit cards, and PayPal, to make your purchase convenient and secure.
 
 
 






 How long do I have access to the course material?		 
 

 

Upon purchasing any of our courses, you will enjoy unlimited access to the course material. This means you can watch and revisit the videos and other resources whenever you wish, allowing for a thorough and comprehensive learning experience.
 
 
 






 Is the course accessible on mobile devices?		 
 

 

Yes, our courses are designed to be accessible on both desktop and mobile devices. You can easily access the course content using a web browser on your smartphone or tablet, providing flexibility in your learning.
 
 
 






 Is there any certification provided after completing the course?		 
 

 

While our courses are highly educational and designed to enhance your knowledge and skills, they do not include formal certifications. However, the valuable expertise you gain from our courses can significantly benefit your surgical practice and patient outcomes.
 
 
 






 What is the format of the course?		 
 

 

All our courses are delivered in a video series format. The content is available for high-definition download, ensuring the best learning experience for you.
 
 
 






 Do I need any special software to access the course videos?		 
 

 

No special software is required to access the course videos. You can conveniently download the videos online using any standard web browser on your computer or mobile device.
 
 
 






 Can I download the course materials for offline access?		 
 

 

Absolutely! You will have the option to download all course materials, including lecture slides, handouts, and supplementary resources. This allows you to access the content offline whenever and wherever it suits you best.",https://digitallistings.net/product/dental-bleaching-evidence-based-techniques-for-daily-practice/,product_images/Dental-Bleaching_the-Science-Based-Techniques-for-Everyday.png;product_images/Dental-Bleaching_the-Science-Based-Techniques-for-Everyday-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/Dental-Bleaching_the-Science-Based-Techniques-for-Everyday.png;https://digitallistings.net/wp-content/uploads/2025/12/Dental-Bleaching_the-Science-Based-Techniques-for-Everyday-300x401.png
"International Journal of Dental Hygiene, Full Archive (2003 – 2021)",$99.99,"Overview
International Journal of Dental Hygiene is the official scientific peer-reviewed journal of the International Federation of Dental Hygienists (IFDH). The journal brings the latest scientific news, high quality commissioned reviews as well as clinical, professional and educational developmental and legislative news to the profession world-wide. Thus, it acts as a forum for exchange of relevant information and enhancement of the profession with the purpose of promoting oral health for patients and communities.
Aims and Scope
The aim of the International Journal of Dental Hygiene is to provide a forum for exchange of scientific knowledge in the field of oral health and dental hygiene. A further aim is to support and facilitate the application of new knowledge into clinical practice. The journal welcomes original research, reviews and case reports as well as clinical, professional, educational and legislative news to the profession world-wide.
Journal Archive 2003 to 2021
Volume 1 to 19 ; Full Issues
ISSN: 1601-5029",https://digitallistings.net/product/international-journal-of-dental-hygiene-full-archive-2003-2021/,product_images/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg;product_images/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg,https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg;https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg
"Oral Diseases, Full Journal Archive 2010-2022",$149.99,"Oral Diseases is a multidisciplinary and international journal with a focus on head and neck disorders, edited by leaders in the field, Professor Bruce Baum (Bethesda, USA) and Professor Giovanni Lodi (Milan, Italy). The journal is pre-eminent in oral medicine. Oral Diseases specifically strives to link often-isolated areas of dentistry and medicine through broad-based scholarship that includes well-designed and controlled clinical research, analytical epidemiology, and the translation of basic science in pre-clinical studies. The journal typically publishes articles relevant to many related medical specialties including especially dermatology, gastroenterology, hematology, immunology, infectious diseases, neuropsychiatry, oncology and otolaryngology. The essential requirement is that all submitted research is hypothesis-driven, with significant positive and negative results both welcomed. Equal publication emphasis is placed on etiology, pathogenesis, diagnosis, prevention and treatment.
ISSN: 1354-523X
Journal Archive 2010 to 2022
Volume 16 To 28 ; Full Issues",https://digitallistings.net/product/oral-diseases-full-journal-archive-2010-2022/,product_images/Oral-Diseases-Journal-Archive-2010-–-2022.jpg;product_images/Oral-Diseases-Journal-Archive-2010-–-2022.jpg,https://digitallistings.net/wp-content/uploads/2025/10/Oral-Diseases-Journal-Archive-2010-–-2022.jpg;https://digitallistings.net/wp-content/uploads/2025/10/Oral-Diseases-Journal-Archive-2010-–-2022.jpg
"Oral and Maxillofacial Surgery Clinics of North America, Journal Archive (2005 -2023)",$149.99,"Published four times a year—February, May, August, and November – Oral and Maxillofacial Surgery Clinics of North America updates you on the latest trends in patient management and the newest advances, as well as provides a sound basis for choosing treatment options. Under the direction of an experienced guest editor, each issue focuses on a single topic in oral and maxillofacial surgery. Topics include reconstructive surgery, implants, dentoalveolar surgery, cleft and craniofacial surgery, craniomaxillofacial trauma surgery, TMJ, and cosmetic surgery.
Journal Archive 2005 to 2023
Full Issues (Volume 17 to 35)
ISSN 1042-3699",https://digitallistings.net/product/oral-and-maxillofacial-surgery-clinics-of-north-america-journal-archive-2005-2023/,product_images/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp;product_images/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp,https://digitallistings.net/wp-content/uploads/2025/10/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp;https://digitallistings.net/wp-content/uploads/2025/10/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp
PGR – Prosthetically Guided Regeneration (Italian Language with English Subtitles),$500.00 Original price was: $500.00.$199.00Current price is: $199.00.,"P.G.R. – Prosthetically Guided Regeneration
P.G.R. is the acronym for Prosthetically Guided Regeneration and represents a working philosophy that places the prosthetic outcome as the fundamental driver of the entire regenerative treatment plan.
The course opens with 4 theoretical lessons illustrating the core principles of prosthetically guided regeneration, and is completed by a series of clinical cases—each including a theoretical introductory presentation, analysis of the treatment plan, and surgical ReLive—aimed at showing the extreme flexibility and adaptability of the P.G.R. approach across different clinical scenarios. In an engaging and strongly practical learning pathway, Paolo Casentini demonstrates how P.G.R. makes it possible to achieve excellent aesthetic results, major benefits in terms of time, and simplification in the treatment of complex cases.
In particular, the course illustrates the application of P.G.R. protocols in multidisciplinary treatment in the aesthetic area, with defects involving hard and soft tissues and previous errors in implant positioning, cases of severe ankylosis, synergies between P.G.R. and mucogingival aesthetic surgery, conditioning and improvement of soft tissues, post-extraction implant placement, and the use of three-dimensional regenerative supports such as mesh.
Language: Italian with English Subtitles
Presented By: Paolo Casentini
Course Details: 34 Videos – Duration: 24 hours & 19 min – File size: 18.6 GB",https://digitallistings.net/product/pgr-prosthetically-guided-regeneration-italian-language-with-english-subtitles/,product_images/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles.png;product_images/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles-300x401.png,https://digitallistings.net/wp-content/uploads/2025/12/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles.png;https://digitallistings.net/wp-content/uploads/2025/12/PGR-–-Prosthetically-Guided-Regeneration-Italian-Language-with-English-Subtitles-300x401.png
"International Journal of Dental Hygiene, Full Archive (2003 – 2021)",$99.99,"Overview
International Journal of Dental Hygiene is the official scientific peer-reviewed journal of the International Federation of Dental Hygienists (IFDH). The journal brings the latest scientific news, high quality commissioned reviews as well as clinical, professional and educational developmental and legislative news to the profession world-wide. Thus, it acts as a forum for exchange of relevant information and enhancement of the profession with the purpose of promoting oral health for patients and communities.
Aims and Scope
The aim of the International Journal of Dental Hygiene is to provide a forum for exchange of scientific knowledge in the field of oral health and dental hygiene. A further aim is to support and facilitate the application of new knowledge into clinical practice. The journal welcomes original research, reviews and case reports as well as clinical, professional, educational and legislative news to the profession world-wide.
Journal Archive 2003 to 2021
Volume 1 to 19 ; Full Issues
ISSN: 1601-5029",https://digitallistings.net/product/international-journal-of-dental-hygiene-full-archive-2003-2021/,product_images/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg;product_images/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg,https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg;https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Dental-Hygiene-2021-180x270-1.jpg
"Oral Diseases, Full Journal Archive 2010-2022",$149.99,"Oral Diseases is a multidisciplinary and international journal with a focus on head and neck disorders, edited by leaders in the field, Professor Bruce Baum (Bethesda, USA) and Professor Giovanni Lodi (Milan, Italy). The journal is pre-eminent in oral medicine. Oral Diseases specifically strives to link often-isolated areas of dentistry and medicine through broad-based scholarship that includes well-designed and controlled clinical research, analytical epidemiology, and the translation of basic science in pre-clinical studies. The journal typically publishes articles relevant to many related medical specialties including especially dermatology, gastroenterology, hematology, immunology, infectious diseases, neuropsychiatry, oncology and otolaryngology. The essential requirement is that all submitted research is hypothesis-driven, with significant positive and negative results both welcomed. Equal publication emphasis is placed on etiology, pathogenesis, diagnosis, prevention and treatment.
ISSN: 1354-523X
Journal Archive 2010 to 2022
Volume 16 To 28 ; Full Issues",https://digitallistings.net/product/oral-diseases-full-journal-archive-2010-2022/,product_images/Oral-Diseases-Journal-Archive-2010-–-2022.jpg;product_images/Oral-Diseases-Journal-Archive-2010-–-2022.jpg,https://digitallistings.net/wp-content/uploads/2025/10/Oral-Diseases-Journal-Archive-2010-–-2022.jpg;https://digitallistings.net/wp-content/uploads/2025/10/Oral-Diseases-Journal-Archive-2010-–-2022.jpg
"Oral and Maxillofacial Surgery Clinics of North America, Journal Archive (2005 -2023)",$149.99,"Published four times a year—February, May, August, and November – Oral and Maxillofacial Surgery Clinics of North America updates you on the latest trends in patient management and the newest advances, as well as provides a sound basis for choosing treatment options. Under the direction of an experienced guest editor, each issue focuses on a single topic in oral and maxillofacial surgery. Topics include reconstructive surgery, implants, dentoalveolar surgery, cleft and craniofacial surgery, craniomaxillofacial trauma surgery, TMJ, and cosmetic surgery.
Journal Archive 2005 to 2023
Full Issues (Volume 17 to 35)
ISSN 1042-3699",https://digitallistings.net/product/oral-and-maxillofacial-surgery-clinics-of-north-america-journal-archive-2005-2023/,product_images/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp;product_images/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp,https://digitallistings.net/wp-content/uploads/2025/10/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp;https://digitallistings.net/wp-content/uploads/2025/10/Oral-and-Maxillofacial-Surgery-Clinics-of-North-America-Journal-Archive-2005-2023.webp
"Journal of Esthetic and Restorative Dentistry, Full Archive ( 2008 – 2023)",$149.99,"The Journal of Esthetic and Restorative Dentistry is the longest standing peer-reviewed journal devoted solely to advancing the knowledge and practice of esthetic dentistry.  Its goal is to provide the very latest evidence-based information in the realm of contemporary interdisciplinary esthetic dentistry through high quality clinical papers, sound research reports and educational features.  The range of topics covered in the journal includes:

Interdisciplinary esthetic concepts
Implants
Conservative adhesive restorations
Tooth whitening
Prosthodontic materials and techniques
Dental materials
Orthodontic, periodontal and endodontic esthetics
Esthetics related research
Innovations in esthetics

ISSN 1496-4155 (Print)
ISSN 1708-8240 (Online)
Journal Archive ( 2008 to 2023) 
Volume 20 to 35, Full Issues",https://digitallistings.net/product/journal-of-esthetic-and-restorative-dentistry-full-archive-2008-2023/,product_images/Journal-of-Esthetic-and-Restorative-Dentistry-Full-Archive.webp;product_images/Journal-of-Esthetic-and-Restorative-Dentistry-Full-Archive.webp,https://digitallistings.net/wp-content/uploads/2025/10/Journal-of-Esthetic-and-Restorative-Dentistry-Full-Archive.webp;https://digitallistings.net/wp-content/uploads/2025/10/Journal-of-Esthetic-and-Restorative-Dentistry-Full-Archive.webp
,,,https://digitallistings.net/product/journal-of-aligner-orthodontics-full-archive-2018-2023-2/,product_images/Journal-of-Aligner-Orthodontics-Archive.webp;product_images/Journal-of-Aligner-Orthodontics-Archive-300x401.webp,https://digitallistings.net/wp-content/uploads/2025/10/Journal-of-Aligner-Orthodontics-Archive.webp;https://digitallistings.net/wp-content/uploads/2025/10/Journal-of-Aligner-Orthodontics-Archive-300x401.webp
International Journal of Computerized Dentistry (Journal Archive 2017 to 2023),$99.99,"This journal explores the myriad innovations in the emerging field of computerized dentistry and how to integrate them into clinical practice. The bulk of the journal is devoted to the science of computer-assisted dentistry, with research articles and clinical reports on all aspects of computer-based diagnostic and therapeutic applications, with special emphasis placed on CAD/CAM and image-processing systems. Articles also address the use of computer-based communication to support patient care, assess the quality of care, and enhance clinical decision making. The journal is presented in a bilingual format, with each issue offering three types of articles: science-based, application-based, and national society reports.
ISSN (print) 1463-4201
ISSN (online) 2702-9514
Full Journal Archive 2017-2023 
File Size: 100 MB",https://digitallistings.net/product/international-journal-of-computerized-dentistry-journal-archive-2017-2023-2/,product_images/International-Journal-of-Computerized-Dentistry.webp;product_images/International-Journal-of-Computerized-Dentistry-300x401.webp,https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Computerized-Dentistry.webp;https://digitallistings.net/wp-content/uploads/2025/10/International-Journal-of-Computerized-Dentistry-300x401.webp
"American Journal of Orthodontics and Dentofacial Orthopedics, (Full Archive 1999 – 2024)",$149.99,"Published for more than 100 years, the American Journal of Orthodontics and Dentofacial Orthopedics remains the leading orthodontic resource. It is the official publication of the American Association of Orthodontists, its constituent societies, the American Board of Orthodontics, and the College of Diplomates of the American Board of Orthodontics. Each month its readers have access to original peer-reviewed articles that examine all phases of orthodontic treatment. Illustrated throughout, the publication includes tables, color photographs, and statistical data. Coverage includes successful diagnostic procedures, imaging techniques, bracket and archwire materials, extraction and impaction concerns, orthognathic surgery, TMJ disorders, removable appliances, and adult therapy.
ISSN: 0889-5406 (print) , 1097-6752 (Web)
Journal Archive (1999 to 2024)
Volume 115 to 166 , Full Issues",https://digitallistings.net/product/american-journal-of-orthodontics-and-dentofacial-orthopedics-full-archive-1999-2024/,product_images/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024.jpg;product_images/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024-300x401.jpg,https://digitallistings.net/wp-content/uploads/2025/10/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024.jpg;https://digitallistings.net/wp-content/uploads/2025/10/american-journal-of-orthodontics-and-dentofacial-orthopedics-2024-300x401.jpg
